,Company Name,Company Description,Company Address,Company Website,Company tel Number,Company Emails,Company linkedIn,Comapany Country name
0,BMT Singapore Pte Ltd,"""BMT is a leading international design, engineering, science, program, and risk management consultancy with a reputation for engineering and delivery excellence. We’re driven by a belief that things can always be better, safer, faster and more efficient. Our vision is to be recognised in our core markets as the trusted partner for scientific and engineering-led advice, solutions, programs, and services, addressing the most challenging needs of our clients. We deliver clarity from complexity.""",Stand: D-T12,https://www.bmt.org/,(+65) 6517 6800,mailto:erin.hatley@bmtglobal.com,https://sg.linkedin.com/company/bmt,Singapore
1,Weichai Singapore Pte Ltd,"""Founded in 1946, Weichai is one of the world's largest automobile and equipment manufacturer with more than 90,000 employees. The group has achieved US$40 billions in sales revenue for 2020 and contend for world top 500 enterprises. Focusing on five (5) business pillars including automotive, construction machinery, powertrain system, luxury yacht and finance services, Weichai has four (4) overseas manufacturers bases worldwide, 10 registered overseas companies, 35 representative offices and 201 service centers""",Stand: F-F02,http://en.weichai.com/,(+65) 67794869,mailto:XUEH@WEICHAI.COM,https://sg.linkedin.com/company/weichai-singapore-pte-ltd,Singapore
2,3R Solutions,"3R offers a piping software framework and pipe-shop turnkey projects. 3R’s piping software framework consists of applications for pipeline design, feasibility checks, spooling, nesting, warehousing, CNC-fabrication, scheduling/monitoring, material and QA/QC weld tracking and complete documentation. 3R’s automated pipe-shop solutions are designed with experience of more than 40 years in the field of pipe spool fabrication. Focusing on carefully planned workshop layouts and selection of equipment 3R offers cost-effective, tailor-made pipe-shops to suit the desired output and quality of fabricati",Stand: E-N51,https://www.3r.de/,No data,No Data,https://www.linkedin.com/company/3r-gmbh/,Germany
3,AEGIR-Marine,AEGIR-Marine is an independent stern seal and propulsion service provider and PRIME products manufacturer for the global maritime industry. We are OEM independent; we can service and provide spare parts for all major propulsion and stern seal systems.,Stand: E-K25,https://www.aegirmarine.com/,(+65) 6753 6188,mailto:singapore@aegirmarine.com,https://www.linkedin.com/company/aegir-marine-bv,Netherlands
4,Aerodynamic Metals Pte Ltd,"Aerodynamic Metals Pte. Ltd. (AMP) Is one of the leading provider of products, services and supply chain solutions. We are recognized as a leading distributor of Aluminium Alloy products for its reliable, efficiency, and commitment to quality. Our extensive ranges of Aluminium products are source from reputable manufacturers worldwide where customers can depend on our extensive sales, sourcing networks and our strong market knowledge. Strategically based in Singapore, our company have more than 20 countries distribution network and diversified clientele of more than 1000 customers.",Stand: E-H31,https://www.aerodynamicmetals.com/,(+65) 65588911,mailto:zenco@aerodynamicmetals.com,No Data,Singapore
5,Albion Marine Solutions Ltd.,No Data,Stand: F-G38,No Data,No data,No Data,No Data,United States
6,Alliance Safety Pte Ltd,"Alliance Safety Pte Ltd is a specialized company Supplying and Servicing Marine Safety Equipment and Fire Firefighting Equipment/Systems and providing value-added safety solutions to the Maritime and Offshore Industries. We offer a wide range of products such as Marine Fire Safety and LSA packages. Our Services include Servicing and Maintenance of Lifeboats, Launching Appliances, On-Load Release Gears and Davit-Launched Liferaft Release Hooks. Inspection and Maintenance of Marine Fire-Fighting Equipment and Systems. Calibration of Portable Gas Detectors and Test Equipment.",Stand: E-N01,https://www.alliancesafety.com.sg/,(+65) 65424131,mailto:sales@alliancesafety.com.sg,No Data,Singapore
7,ALLIANZ COMMUNICATION PTE LTD,"ALLIANZ NETWORK Media Team Given all these development thrusts at Allianz Communication Pte Ltd,The ALLIANZ NETWORK GROUP, is the leading trade media in Asia with a robust portfolio of success stories in providing powerful media coverage to the rapid convergence of industrial, commercial and consumer sectors. With integrated experiences aggregated over an extensive period, and geared towards enhancing our stakeholders’ marketplace impact, we constantly consolidate our strength in producing industry-specific media across conventional and digital platforms to optimize the matching of the buyers",Stand: D-S36,https://www.allianz-media.com/,(+65) 96733415,mailto:sam.tan@allianz-media.com,No Data,Singapore
8,Allied eParts Pte Ltd,"Allied eParts (previously Alphatron Asia) is a market-leading marine electronics distributor, with a focus on components and portable equipment. The company was established in 1997 and has over 20 years of experience in the industry. Allied eParts has offices in Singapore, China, South Korea, Japan, Vietnam and Indonesia and is rapidly increasing its presence in the region. The company distributes a wide range of products throughout Asia, including e2v Radar Magnetrons, Novega VDR Acoustic Beacons, Entel Intrinsically Safe Radios and GMDSS Radios, Hatteland Marine Grade Displays, AC Antennas,",Stand: E-N28,https://www.aeparts.sg/,(+65) 67422272,mailto:sales@aeparts.sg,https://www.linkedin.com/company/allied-eparts/,Singapore
9,ALLTEK MARINE ELECTRONICS CORPORATION,"Alltek Marine, also known as AMEC, is a dedicated AIS manufacturer and solution provider. Founded in 2006, we created a full range of products from AIS class A, class B, receiver, AIS AtoN, AIS MOB and electronic charting system with the in-house expertise in software radio technology. The innovation, reliability and performance of AMEC products defy the expectation of our customers. Nowadays we serve channel partners in over 55 countries. Our AIS solutions are trusted by worldwide maritime authorities and system integrators. Our enthusiastic sales team will be more than happy to assist whatev",Stand: D-U12,https://www.alltekmarine.com/,(+886) 2 8691 8568,mailto:yychiou@alltekmarine.com,No Data,Taiwan
10,ALLWEILER,No Data,Stand: D-V06,No Data,No data,No Data,No Data,No Data
11,Alphatron Marine,No Data,Stand: F-G02,No Data,No data,No Data,No Data,Netherlands
12,Alphatron Marine Systems Pte Ltd,"JRC is a world leading marine electronics producer specializing in the design and manufacture of industry compliant products. With a history that spans over a 100 year, JRC has a strong reputation for developing the best quality maritime products. Alphatron Marine is a world-renowned supplier of integrated bridge solutions, represent major industry brands and manufacturer of unique complementary products to the JRC portfolio. The combined synergies bring quality and innovation to owners, operators and shipyards, redefining the future of ocean, offshore and river navigation.",Stand: E-N26,http://www.alphatronmarine.com/,(+65) 68630335,mailto:sales@alphatronmarinesystems.com,https://www.linkedin.com/company/jrc-alphatronmarine/,Singapore
13,Alupro Oy,"Our mission is to provide perfect air for your system already from the inlet point. Perfect Air - We can filter out 99.9% of the water particles in the air — no more mist or water droplets in places where they can wreak havoc saving you downtime and money. No matter what kind of conditions you face, our solutions can easily handle them. Our maintenance-free droplet separators and louvers are technologically superior and have been tested in the most demanding environments and conditions.",Stand: F-E38,https://www.alupromarine.com/,(+358) 207421700,mailto:marine@alupro.com,https://www.linkedin.com/company/22327294,Finland
14,Anglo Belgian Corporation,"Anglo Belgian Corporation (ABC), located in Ghent (Belgium), has more than a century of expertise in developing and manufacturing medium-speed engines and generating sets for marine applications. Our medium-speed engine portfolio, with 6- and 8-cylinder inline engines and 12- and 16- cylinder V-engines, covers a power range from 600 kW up to 10,4 MW. ABC engines are designed for heavy duty usage. They are built to deliver outstanding performance under the toughest and most demanding conditions at sea. Get in touch, tell us about your plans.",Stand: E-H07,No Data,No data,No Data,No Data,No Data
15,Antwerp Diesel Pumps NV,SOLUTION FOR MARINE / INDUSTRIAL DIESEL ENGINE FUEL INJECTION EQUIPMENT AND GOVERNOR REPAIRS.,Stand: D-S29,https://info@adp.nu/,(+32) 33265161,mailto:info@adp.nu,No Data,Belgium
16,API Marine ApS,"API Marine is a leading manufacturer of control, monitoring and alarm systems. API Marine provides tailormade system solutions for all types of vessels, such as workboats, specialized supply vessels, product oil & chemical tankers, bulk carrier, larger commercial fishing vessels, floating dock as well as others. The system solutions consist of high-quality sensors, control cabinets and a modern and user-friendly software package providing full automation of the vessel’s operations.",Stand: E-L39,https://www.api-marine.dk/,(+45) 96345070,mailto:aly@api-marine.dk,https://www.linkedin.com/company/api-marine-aps,Denmark
17,Aquametro Oil & Marine (S.E.A.) Pte Ltd,"Since 1928, Aquametro Oil & Marine has been among the leading manufacturers and suppliers of measurement, optimization and monitoring solutions for all kinds of fluids on ships and industrial applications. Our range consists of more than 100 different oil fuel meters and management systems which have been developed specially for ships, transport vehicles and other heavy machinery in the shipping and industrial sector. We are also considered experts in viscosity measurement and control as well as in measurement, monitoring and management systems for fuel performance and fuel switching units (HF",Stand: D-S07,https://www.aquametro-oil-marine.com/,(+65) 6899 1980,mailto:sales.asia@aquametro-oil-marine.com.sg,https://www.linkedin.com/company/aquametro-oil-marine-ag,Singapore
18,Arma Ship Supply,"Arma Int'l Ship Supply Inc. provides Provisions/Victualling, Consumables/Technical Stores, Ship's Spares in Transit supplies and various maritime services (like LSA & FFA services and repairing/overhauling/reconditioning jobs) at all Ports, Straits and Shipyards of Turkey with a service motto of ""Optimised for You!"". By covering all service standards within the framework of the Sustainability Policy, the company is accredited with ISO9001, ISO14001, ISO22000 and ISO45001 management systems.",Stand: D-V16,http://www.armashipsupply.com/,+90 232 463 6500,mailto:arma@armashipsupply.com,No Data,Turkey
19,Asian Shipowner Association (ASA),"Asian Shipowners’ Forum (ASF) was founded in April 1992 when its first meeting was held at Japan Shipping Club in Tokyo. As one of the important shipping organizations in the world, it consists of seven members from the shipowners’ associations of Asia Pacific nations i.e. Australia, China, Hong Kong, Japan, Korea, Chinese Taipei and Federation of ASEAN Shipowners’ Associations (FASA). To better reflect the work and progress of its members and committees, the Asian Shipowners’ Forum (ASF) – who controls and operates around 50% of the world’s cargo carrying fleet – is changing its name to Asian",Stand: E-J02,https://asianshipowners.org/,(+65) 91072738,mailto:JULIENG@ASA.ORG.SG,No Data,Singapore
20,AsiaSat,"AsiaSat offers reliable satellite connectivity, media and data solutions to customers in the broadcast, telecom and mobility sectors through its five in-orbit satellites – AsiaSat 5, AsiaSat 6, AsiaSat 7, AsiaSat 8 and AsiaSat 9, and teleport infrastructure. From content distribution to headends, telcos, DTH, DTT platforms; Occasional Use; to One Click Go Live streaming service; IP-based, hybrid OTT service; hosting services; VSAT solutions serving maritime, aviation, mobile backhaul, AsiaSat helps bridge the digital divide, aiming to be the foremost satellite solutions provider in Asia.",Stand: D-T06,https://www.asiasat.com/,25000888,mailto:sailas@asiasat.com,https://www.linkedin.com/company/asiasat,Hong Kong SAR
21,Association of Singapore Marine Industries (ASMI),"The Association of Singapore Marine Industries (ASMI) is a non-profit trade organisation formed in 1968 to promote the interests and advancement of the marine and offshore engineering industry in Singapore. ASMI represents companies in the business of ship repair, ship conversion, ship building, rig building and offshore engineering. Its membership comprises shipyards, manufacturers and suppliers of marine & offshore equipment and components. ASMI members also include marine & offshore engineering companies, marine consultants and contractors as well as classification societies.",Stand: E-P25,https://www.asmi.com/,(+65) 62646436,mailto:Kitkaye.lim@asmi.com,https://www.linkedin.com/company/assocation-of-singapore-marine-industries/?viewAsMember=true,Singapore
22,ASTE GLOBAL PTE LTD,"A leading regional supplier for a wide range of marine products was incorporated in 1996. Our primarily focus was to serve ship chandlers in supplying mainly packing and jointing. Over the years, Aste Global has increased its product range and service offerings to meet changing market demands as our Singapore’s port receives more and more ships from round the world. To date, we are serving almost 95% of ship chandlers in Singapore and we have managed to successfully expand our services to various industrial suppliers, hardware shops, oil rigs and marine engineering companies. It is our mission",Stand: D-S30,https://www.aste.com.ssg/,(+65) 68621212,mailto:MARKETING@ASTE.COM.SG,https://sg.linkedin.com/company/asteglobal-pte-ltd,Singapore
23,ATEXOR,No Data,Stand: E-P07,No Data,No data,No Data,No Data,Finland
24,Australian International Marine Exports Group (AIMEX),"The Australian International Marine Export Group (AIMEX) is the peak body for the marine export industry. The objective of AIMEX is to develop and promote Australia’s international competitiveness in the marine sector. AIMEX represents Australia’s most successful international brands, emerging companies and firms that showcase exciting innovation and technological development.",Stand: E-Q38,https://www.aimex.asn.au/,(+61) 0413375820,mailto:dgood@aimex.asn.au,No Data,Australia
